CX Calls Call Started Date,CX Calls Call Started Hour of Day,calls,emails,chats,sms,orders
1/17/2016,21,0,825,0,0,481
1/17/2016,19,0,1001,37,0,713
1/17/2016,4,0,21,0,0,1
1/17/2016,20,0,873,61,0,585
1/18/2016,21,0,1017,65,0,557
1/18/2016,16,0,2413,301,0,1613
1/18/2016,4,0,157,0,0,0
1/18/2016,8,0,569,0,0,121
1/18/2016,1,0,245,0,0,85
1/18/2016,9,0,1617,5,0,161
1/18/2016,12,0,2317,233,0,1225
1/18/2016,20,0,1521,113,0,721
1/18/2016,6,0,85,0,0,5
1/18/2016,15,0,2305,265,0,1737
1/18/2016,19,0,1669,117,0,1001
1/18/2016,10,0,1533,213,0,349
1/18/2016,18,0,2193,181,0,1281
1/18/2016,3,0,93,0,0,17
1/18/2016,13,0,2245,297,0,1485
1/18/2016,23,0,745,0,0,197
1/18/2016,7,0,293,0,0,21
1/18/2016,22,0,1165,0,0,345
1/18/2016,2,0,105,0,0,33
1/18/2016,5,0,65,0,0,0
1/18/2016,11,0,2017,249,0,849
1/18/2016,17,0,1997,201,0,1673
1/18/2016,14,0,14417,289,0,1597
1/18/2016,0,0,221,0,0,133
1/19/2016,21,169,1489,0,0,581
1/19/2016,22,81,1501,0,0,457
1/19/2016,20,445,1349,145,0,697
1/19/2016,23,57,753,0,0,289
1/19/2016,19,661,1381,213,0,969
1/19/2016,9,0,2041,121,0,341
1/19/2016,4,0,85,0,0,13
1/19/2016,8,0,657,0,0,89
1/19/2016,1,0,281,0,0,69
1/19/2016,12,0,2705,269,0,1033
1/19/2016,17,0,2597,245,0,1117
1/19/2016,5,0,165,0,0,9
1/19/2016,18,0,1849,217,0,1073
1/19/2016,14,0,2713,277,0,1245
1/19/2016,0,0,493,0,0,165
1/19/2016,10,0,2617,205,0,773
1/19/2016,3,0,77,0,0,29
1/19/2016,13,0,2237,281,0,593
1/19/2016,2,0,209,0,0,25
1/19/2016,16,0,3305,241,0,1389
1/19/2016,6,0,113,0,0,21
1/19/2016,15,0,2989,265,0,1289
1/19/2016,7,0,269,0,0,53
1/19/2016,11,0,2481,285,0,965
1/20/2016,21,109,1393,0,0,661
1/20/2016,11,1409,2193,241,0,805
1/20/2016,0,21,489,0,0,141
1/20/2016,23,21,809,0,0,329
1/20/2016,4,9,117,0,0,9
1/20/2016,7,1,325,0,0,37
1/20/2016,13,1529,2313,273,0,1181
1/20/2016,8,113,657,0,0,117
1/20/2016,3,1,125,0,0,25
1/20/2016,18,777,1821,181,0,1081
1/20/2016,10,869,1737,233,0,493
1/20/2016,1,5,293,0,0,73
1/20/2016,17,1133,3037,161,0,1297
1/20/2016,22,41,1017,0,0,465
1/20/2016,16,1489,3781,185,0,1329
1/20/2016,20,413,1069,89,0,709
1/20/2016,5,1,173,0,0,17
1/20/2016,2,1,173,0,0,53
1/20/2016,14,1409,2577,289,0,1153
1/20/2016,19,545,1865,169,0,1001
1/20/2016,9,553,2289,161,0,361
1/20/2016,12,1561,2469,325,0,973
1/20/2016,15,1465,3129,177,0,1101
1/20/2016,6,0,73,0,0,25
1/21/2016,14,1257,3005,297,0,1217
1/21/2016,8,125,873,0,0,161
1/21/2016,18,637,1769,189,0,1209
1/21/2016,10,969,2125,189,0,565
1/21/2016,11,1517,1941,209,0,645
1/21/2016,1,5,225,0,0,93
1/21/2016,13,1337,3077,245,0,1261
1/21/2016,7,13,297,0,0,69
1/21/2016,16,1129,2289,241,0,1013
1/21/2016,15,1373,3261,213,0,1073
1/21/2016,12,1305,2333,321,0,1025
1/21/2016,17,1133,2265,225,0,1273
1/21/2016,9,445,2429,153,0,337
1/21/2016,6,0,181,0,0,33
1/21/2016,19,0,1529,161,0,909
1/21/2016,5,0,97,0,0,25
1/21/2016,0,0,421,0,0,209
1/21/2016,4,0,97,0,0,0
1/21/2016,23,0,565,0,0,257
1/21/2016,2,0,185,0,0,41
1/21/2016,22,0,949,0,0,413
1/21/2016,3,0,45,0,0,29
1/21/2016,20,0,1157,157,0,585
1/21/2016,21,0,1317,0,0,489
1/22/2016,23,21,417,0,0,181
1/22/2016,22,37,497,0,0,217
1/22/2016,19,465,1057,101,0,789
1/22/2016,20,217,1037,113,0,533
1/22/2016,21,77,969,17,0,401
1/22/2016,6,0,157,0,0,9
1/22/2016,9,0,1973,169,0,449
1/22/2016,0,0,397,0,0,145
1/22/2016,5,0,117,0,0,29
1/22/2016,1,0,213,0,0,109
1/22/2016,15,0,2789,237,0,1101
1/22/2016,3,0,45,0,0,37
1/22/2016,13,0,2369,209,0,1133
1/22/2016,12,0,2133,277,0,1073
1/22/2016,14,0,2901,205,0,1165
1/22/2016,11,0,2153,205,0,897
1/22/2016,17,0,1889,157,0,1141
1/22/2016,8,0,589,0,0,89
1/22/2016,10,0,1521,261,0,593
1/22/2016,4,0,29,0,0,9
1/22/2016,16,0,2633,277,0,1301
1/22/2016,18,0,1481,113,0,1065
1/22/2016,7,0,185,0,0,49
1/22/2016,2,0,169,0,0,53
1/23/2016,22,17,505,0,0,269
1/23/2016,16,393,1405,65,0,1241
1/23/2016,21,53,857,0,0,461
1/23/2016,19,121,849,89,0,829
1/23/2016,20,77,669,45,0,701
1/23/2016,18,449,1265,85,0,1121
1/23/2016,12,745,1157,73,0,877
1/23/2016,10,497,929,77,0,285
